category,url,title,price,discount,description,age_rating,genres,developer,release_date,review_score
action,https://store.steampowered.com/app/730/CounterStrike_2/?snr=1_7_7_240_150_1,Counter-Strike 2,Бесплатные,0%,"Более двух десятилетий Counter-Strike служит примером первоклассной соревновательной игры, путь развития которой определяют миллионы игроков со всего мира. Теперь пришло время нового этапа — Counter-Strike 2.",Не указано,"Шутер от первого лица, Шутер, Для нескольких игроков, , ",Valve,21 авг. 2012 г.,81% положительных
action,https://store.steampowered.com/app/570/Dota_2/?snr=1_7_7_240_150_1,Dota 2,Бесплатно,0%,"Ежедневно миллионы игроков по всему миру сражаются от лица одного из более сотни героев Dota 2, и даже после тысячи часов в ней есть чему научиться. Благодаря регулярным обновлениям игра живёт своей жизнью: геймплей, возможности и герои постоянно преображаются.",Не указано,"Бесплатная игра, MOBA, Для нескольких игроков, , ",Valve,9 июл. 2013 г.,72% положительных
action,https://store.steampowered.com/app/1808500/ARC_Raiders/?snr=1_7_7_240_150_1,ARC Raiders,3220 руб.,0%,"ARC Raiders – анонсированная многопользовательская игра жанра extraction adventure, действие которой разворачивается в суровом будущем на Земле, атакованной загадочными механическими захватчиками ARC.",Не указано,"Шутер с эвакуацией, Игрок против игрока, , Игрок против ИИ, ",Embark Studios,30 окт. 2025 г.,87% положительных
action,https://store.steampowered.com/app/2592160/Dispatch/?snr=1_7_7_240_150_1,Dispatch,1100 руб.,0%,"""Dispatch"" — это комедия о рабочем месте супергероев, в которой ваш выбор имеет значение. Управляйте командой проблемных героев и решайте, кого отправить на экстренные вызовы по всему городу, одновременно балансируя офисную политику, личные отношения и собственный путь к становлению героем.",Не указано,"Решения с последствиями, Глубокий сюжет, Нагота, , ",AdHoc Studio,22 окт. 2025 г.,96% положительных
action,https://store.steampowered.com/app/578080/PUBG_BATTLEGROUNDS/?snr=1_7_7_240_150_1,PUBG: BATTLEGROUNDS,Бесплатные,0%,"PUBG: BATTLEGROUNDS — культовый шутер, пробудивший интерес к жанру «королевская битва», теперь бесплатный! Высаживайтесь на разные карты, добывайте уникальное оружие и припасы и постарайтесь выжить в постоянно сужающейся зоне, где опасность подстерегает вас за каждым углом.",Не указано,"Выживание, Шутер, Королевская битва, , ",PUBG Corporation,21 дек. 2017 г.,69% положительных
action,https://store.steampowered.com/app/252490/Rust/?snr=1_7_7_240_150_1,Rust,1399 руб.,0%,"Единственная цель в Rust — выживание. Дикая природа острова, его обитатели, окружение, другие выжившие — всё вокруг хочет твоей смерти. Делай всё, что в твоих силах, чтобы пережить ещё одну ночь.",Не указано,"Выживание, Крафтинг, Для нескольких игроков, , ",Facepunch Studios,8 фев. 2018 г.,84% положительных
action,https://store.steampowered.com/app/3527290/PEAK/?snr=1_7_7_240_150_1,PEAK,222 руб.,-38%,"PEAK — это совместная игра о восхождении, где малейшая ошибка может привести к гибели. Играйте в одиночку или вместе с группой отчаянных бойскаутов. Сбегите с таинственного острова, для чего вам потребуется забраться на гору в его центре. Хватит ли вам сил, чтобы достичь ПИКА?",Не указано,"Для нескольких игроков, Сетевой кооператив, Кооператив, , ",Team PEAK,16 июн. 2025 г.,91% положительных
action,https://store.steampowered.com/app/1903340/Clair_Obscur_Expedition_33/?snr=1_7_7_240_150_1,Clair Obscur: Expedition 33,3499 руб.,-20%,"Возглавьте Экспедицию 33 и уничтожьте Художницу, чтобы она никогда больше не смогла нарисовать смерть. Исследуйте мир чудес, созданный на основе Прекрасной эпохи Франции, и побеждайте уникальных врагов в пошаговой ролевой игре с механикой реального времени.",Не указано,"Пошаговые сражения, Глубокий сюжет, Фэнтези, , ",Sandfall Interactive,24 апр. 2025 г.,94% положительных
action,https://store.steampowered.com/app/3167020/Escape_from_Duckov/?snr=1_7_7_240_150_1,Escape from Duckov 逃离鸭科夫,689 руб.,0%,"Побег из Дакова — это PVE шутер с элементами сбора ресурсов - в мире уток! Собирай ресурсы, строй своё убежище и улучшай снаряжение в мире Дакова. Начни с нуля и добейся вершины. Перехитри враждебных уток, выживи или хотя бы выберись живым.",Не указано,"Приключение, Экшен, Шутер с эвакуацией, , Лутер-шутер",Team Soda,16 окт. 2025 г.,95% положительных
action,https://store.steampowered.com/app/3405340/Megabonk/?snr=1_7_7_240_150_1,Megabonk,429 руб.,-15%,"Разноси бесконечные волны врагов и становись абсурдно сильным! Собирай loot, level-апай, открывай characters и upgrade-ь всё, чтобы собирать уникальные и безумные билды, отражая орды тварей!",Не указано,"Рогалик, Экшен-рогалик, Упрощённый рогалик, , Инди",vedinad,18 сен. 2025 г.,92% положительных
action,https://store.steampowered.com/app/2827200/MIMESIS/?snr=1_7_7_240_150_1,MIMESIS,385 руб.,0%,"Кооперативный хоррор на выживание. Когда идёт проклятый дождь, появляются «Мимесис (Mimesis)», идеально копирующие ваших товарищей, создавая напряжение, какого вы ещё не испытывали.",Не указано,"Ранний доступ, Сетевой кооператив, Хоррор, Смешная, ","ReLU Games, Inc.",27 окт. 2025 г.,77% положительных
action,https://store.steampowered.com/app/2694490/Path_of_Exile_2/?snr=1_7_7_240_150_1,Path of Exile 2,1398 руб.,0%,"Path of Exile 2 – это бесплатная Action RPG следующего поколения от Grinding Gear Games, с совместным режимом до шести игроков. Спустя годы после событий оригинальной Path of Exile, вы возвратитесь в мрачный мир Рэкласта и будете искать способ положить конец разрастающейся порче.",Не указано,"Ролевой экшен, Слэшер, Ролевая игра, MMORPG, ",Grinding Gear Games,6 дек. 2024 г.,79% положительных
